,TimeTick,1,0.8,0.5,0.3,0.1
13/05/2023,6.217773,0,19405.59429,47615.44942,67852.26866,86934.33411
13/05/2023,6.23444,0,19372.18083,47515.82145,67733.99462,86776.42981
13/05/2023,6.251107,0,19338.11168,47384.55776,67613.428,86615.58841
13/05/2023,6.267773,0,19303.388,47246.81756,67490.57289,86451.81534
13/05/2023,6.28444,0,19268.01178,47115.41116,67365.43632,86285.11616
13/05/2023,6.301107,0,19231.9826,47007.99211,67238.01681,86115.4965
13/05/2023,6.317773,0,19195.30247,46898.98199,67108.32151,85942.96211
13/05/2023,6.33444,0,19157.97265,46788.38449,66976.35481,85767.52287
13/05/2023,6.351107,0,19119.99439,46676.20594,66842.12117,85589.1767
13/05/2023,6.367774,0,19081.36898,46562.44499,66705.62514,85407.9336
13/05/2023,6.384441,0,19042.09772,46447.10806,66566.87134,85223.79972
13/05/2023,6.401107,0,19002.18195,46330.19904,66425.86446,85036.78128
13/05/2023,6.417774,0,18961.62302,46211.7219,66282.60928,84846.88463
13/05/2023,6.434441,0,18920.4223,46091.68063,66137.11065,84654.11617
13/05/2023,6.451108,0,18878.58214,45970.08211,65989.37348,84458.48245
13/05/2023,6.467774,0,18836.10206,45846.92488,65839.40279,84259.96262
13/05/2023,6.484441,0,18792.98444,45722.21588,65687.20365,84058.61793
13/05/2023,6.501108,0,18749.23073,45595.95933,65532.78476,83854.42812
13/05/2023,6.517775,0,18704.84242,45468.15951,65376.14428,83647.4001
13/05/2023,6.534441,0,18659.82101,45338.82222,65217.29104,83437.54089
13/05/2023,6.551125,0,18614.16803,45207.94888,65056.2304,83224.86249
13/05/2023,6.567792,0,18567.88502,45075.5454,64892.96781,83009.36235
